index,content,label
2807,o diminea perfect cu la,1
2455,alege sa colaboreze cu pentru a asigura fiabilitatea aplicatiei lync pe dispozitive mobile,1
3001,in luna iunie iti rasplatim fidelitatea -ne serviciile pe pagina de facebook si primesti automat 15 reducere la tratamentul facial preferat,1
2856,si dragasani sunt patria infractorilor cibernetici pentru ca autoritatile permit asta la fel si asistentii romania,0
1238,poti fi tu iubirea vietii meledar daca imi iei telefonul din mn te njur de toti mortii,0
290,deputatul  dezamgit c n comisie a fost respins iniiativa prin care s fie interzis renunarea voluntar la titlul de doctor mi se pare o btaie de joc fa de aceast instituie a doctoratului n romnia,0
2326,unii la patinoar alii la  fiecare cu pasiunile lui,1
439,aa m simt i faptul c nu pot s fac km pe jos ca nainte si obosesc nu m ajut s-mi schimb prerea  fmm de covid,0
2336,astept in metrou ca boul ca sa pot intarzia la munca b-01-mue email m1 costin georgian,0
1696,tibifarcash cred c ai suprat pe cineva de la,0
106,am lsat azi maina parcat vreo trei ore lng ateneu cred c doar dac o lsam pe un antier se mai depunea att de mult praf pe ea s tot mnnci la terasele din zon,0
266,spunea odata  nu exista aratare mai trista decat un pesimist tanar,0
3071,mi-a dori s am o tablet grafic pe pc este mai greu de desenat trebuie s mai exersezbineneles sunt un fan castlevania i hope your like it castlevania  my fanart,1
2702,aparent sunt o grmad de oameni convini c apa de la robinet nu e potabil srsly punei i la ciorb,0
1107,pe lng ca mi-am luat 2 odat i i a fcut pe toi nite uri i mean,0
2271,era i timpul s mi schimb wallpaperul cu ceva frumos,1
2735,de la  continental te-a acceptat in campanie 1min dupa continental te-a suspendat din campanie wtf,0
1905,a luat drepturile de difuzare pentru btile de la pungeti,0
2261,samsung pay mi se pare o chestie fcut cu cap dac va funciona aa cum spun ei,1
1944,apusul de soare poate fi frumos si in bucuresti bar,1
1404,dejun email hut,1
2517,urat din partea ca incurajeaza tambalaul la c-as fi fost la vreun un meci in ultimii 8 ani,0
1504,nervi servicii proaste email transilvania -,0
2629,cea mai scurt i cea mai frumoas vacan pe care am avut-o vreodat - la revedere dorna  with,1
897,in zilele noastre sefii de state tin sa ne anunte cand se imbolnavesc de covid dar inainte cand erau raciti de ce nu ne spuneau nimic atat de rau a decazut lumea politica incat am ajuns sa consideram breaking news faptul ca lui ii curg mucii,0
